"mon_feature_id","sample_begin_date","sample_begin_time","sample_begin_depth","result_num_value","mon_feature_name"
88753,1994-06-21,"12:48:00",0,5,"ZDWR16B VAAL RIVER AT VAALLUS - 100M D/STR OF ISLAND"
88779,2020-02-18,"11:42:00",0,2.5,"ZJAC002 AT JACOBSDAL BRIDGE ON RIETRIVIER"
88779,2021-03-17,"12:00:00",0,1,"ZJAC002 AT JACOBSDAL BRIDGE ON RIETRIVIER"
88779,2021-11-16,"12:00:00",0,34,"ZJAC002 AT JACOBSDAL BRIDGE ON RIETRIVIER"
88779,2023-05-08,"10:00:00",0,4,"ZJAC002 AT JACOBSDAL BRIDGE ON RIETRIVIER"
88885,1993-11-15,"12:58:00",0,5,"ZRIRI01 RIETKUIL D/S ARNOT POWER STA ON RIETKUILSPRUIT"
88885,1994-02-15,"10:13:00",0,3,"ZRIRI01 RIETKUIL D/S ARNOT POWER STA ON RIETKUILSPRUIT"
88885,1994-05-17,"10:50:00",0,1,"ZRIRI01 RIETKUIL D/S ARNOT POWER STA ON RIETKUILSPRUIT"
88885,1994-08-09,"10:20:00",0,7,"ZRIRI01 RIETKUIL D/S ARNOT POWER STA ON RIETKUILSPRUIT"
88923,1993-11-16,"10:45:00",0,6,"ZSPHA01 AT BRIDGE ON HARTOGSHOF 413 JS ON SPRINGBOK SPRUIT"
88923,1994-02-15,"11:14:00",0,5,"ZSPHA01 AT BRIDGE ON HARTOGSHOF 413 JS ON SPRINGBOK SPRUIT"
88923,1994-05-17,"12:10:00",0,11,"ZSPHA01 AT BRIDGE ON HARTOGSHOF 413 JS ON SPRINGBOK SPRUIT"
88977,2007-08-02,"16:00:00",0,8.21,"ZVAAL-REG YZERSPRUIT 113 HP - @ REGINA BRIDGE AT VAAL VIEW ON VAALRIVIER"
88977,2023-06-05,"10:00:00",0,110,"ZVAAL-REG YZERSPRUIT 113 HP - @ REGINA BRIDGE AT VAAL VIEW ON VAALRIVIER"
88979,2023-06-07,"10:00:00",0,0.25,"C2VAAL-VERMA BUFFELSFONTEIN 443 IP - AT VERMAASDRIF BRIDGE ON VAALRIVIER"
88987,1993-11-15,"07:38:00",0,5,"ZVLBA04 BANKVALEI 160 IS @ PIPE CROSSING ON VLAKFONTEINSPRUIT"
88987,1993-11-15,"12:24:00",0,6,"ZVLBA04 BANKVALEI 160 IS @ PIPE CROSSING ON VLAKFONTEINSPRUIT"
88987,1994-02-15,"08:50:00",0,5,"ZVLBA04 BANKVALEI 160 IS @ PIPE CROSSING ON VLAKFONTEINSPRUIT"
88987,1994-05-17,"10:23:00",0,2,"ZVLBA04 BANKVALEI 160 IS @ PIPE CROSSING ON VLAKFONTEINSPRUIT"
88987,1994-08-09,"09:55:00",0,127,"ZVLBA04 BANKVALEI 160 IS @ PIPE CROSSING ON VLAKFONTEINSPRUIT"
89004,1993-11-15,"10:33:00",0,6,"ZWOBO03 AT HENDRINA ASH DAM ON EASTERN WOES-ALLEENSPRUIT"
89004,1994-02-14,"13:25:00",0,6,"ZWOBO03 AT HENDRINA ASH DAM ON EASTERN WOES-ALLEENSPRUIT"
89004,1994-05-16,"13:22:00",0,2,"ZWOBO03 AT HENDRINA ASH DAM ON EASTERN WOES-ALLEENSPRUIT"
89004,1994-08-08,"13:30:00",0,3,"ZWOBO03 AT HENDRINA ASH DAM ON EASTERN WOES-ALLEENSPRUIT"
89006,1993-11-15,"08:18:00",0,1,"ZWONO02 AT NOODHULP 474 JS ON WOES-ALLEEN SPRUIT"
89006,1994-02-14,"10:39:00",0,2,"ZWONO02 AT NOODHULP 474 JS ON WOES-ALLEEN SPRUIT"
89006,1994-05-16,"10:58:00",0,1,"ZWONO02 AT NOODHULP 474 JS ON WOES-ALLEEN SPRUIT"
89006,1994-08-08,"11:18:00",0,1,"ZWONO02 AT NOODHULP 474 JS ON WOES-ALLEEN SPRUIT"
89007,1993-11-15,"09:42:00",0,9,"ZWOPU04 @ WASHING PLANT PULLENS HOPE EASTERN WOES-ALLEEN SPR"
89007,1994-02-14,"13:00:00",0,22,"ZWOPU04 @ WASHING PLANT PULLENS HOPE EASTERN WOES-ALLEEN SPR"
89007,1994-05-16,"12:40:00",0,53,"ZWOPU04 @ WASHING PLANT PULLENS HOPE EASTERN WOES-ALLEEN SPR"
89007,1994-08-08,"12:40:00",0,2,"ZWOPU04 @ WASHING PLANT PULLENS HOPE EASTERN WOES-ALLEEN SPR"
89008,1993-11-15,"09:25:00",0,31,"ZWORO01 @ HENDRINA POWER STATION ON TRIB OF WOES-ALLEENSPRUIT"
89008,1994-02-14,"12:21:00",0,28,"ZWORO01 @ HENDRINA POWER STATION ON TRIB OF WOES-ALLEENSPRUIT"
89008,1994-05-16,"12:13:00",0,11,"ZWORO01 @ HENDRINA POWER STATION ON TRIB OF WOES-ALLEENSPRUIT"
89008,1994-08-08,"12:17:00",0,12,"ZWORO01 @ HENDRINA POWER STATION ON TRIB OF WOES-ALLEENSPRUIT"
89009,1993-11-15,"06:47:00",0,2,"ZWOWO06 EASTERN WOES-ALLEEN MINE DAM ON WOESTALLEEN 477 J"
89009,1994-02-14,"08:28:00",0,1,"ZWOWO06 EASTERN WOES-ALLEEN MINE DAM ON WOESTALLEEN 477 J"
89009,1994-05-16,"08:56:00",0,4,"ZWOWO06 EASTERN WOES-ALLEEN MINE DAM ON WOESTALLEEN 477 J"
